index,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
1,1000,294.0,3856,1.2105961560009746,"[10, 1, 3, 7, 19, 17, 13, 24, 5, 12, 16, 19, 21, 2, 4, 20, 11, 11, 16, 22, 0, 23, 18, 6, 1]",25,0.1,1000
3,1000,294.0,6171,2.14462798599925,"[7, 13, 1, 14, 17, 22, 6, 1, 5, 10, 14, 20, 15, 19, 24, 3, 21, 8, 16, 9, 3, 23, 18, 18, 6]",25,0.3,1000
5,1000,295.0,6378,2.030616820000432,"[5, 18, 9, 17, 24, 2, 6, 1, 10, 7, 0, 20, 13, 9, 24, 2, 5, 8, 22, 11, 23, 3, 15, 4, 12]",25,0.45,1000
7,1000,296.0,15663,4.6788502039999,"[0, 9, 18, 5, 13, 8, 24, 22, 20, 2, 21, 16, 0, 12, 4, 7, 11, 6, 14, 17, 1, 18, 23, 3, 11]",100,0.1,1000
9,1000,297.0,20714,6.160233335998782,"[6, 9, 18, 12, 23, 8, 3, 5, 21, 21, 24, 11, 4, 23, 18, 22, 7, 16, 0, 20, 1, 10, 2, 19, 17]",100,0.3,1000
11,1000,297.0,22026,6.582079410000006,"[22, 9, 3, 5, 24, 2, 18, 23, 23, 20, 10, 16, 11, 2, 4, 1, 19, 0, 14, 6, 1, 13, 15, 21, 12]",100,0.45,1000
13,1000,298.0,82183,24.842257443000562,"[14, 20, 18, 3, 15, 7, 23, 8, 16, 2, 22, 24, 6, 0, 17, 1, 1, 21, 10, 3, 19, 9, 12, 4, 13]",300,0.1,1000
15,1000,300.0,108069,32.72705931699966,"[14, 17, 13, 8, 23, 3, 1, 22, 12, 19, 7, 2, 24, 6, 21, 15, 10, 5, 20, 18, 4, 0, 11, 9, 16]",300,0.3,1000
17,1000,298.0,84590,25.310169424999913,"[17, 20, 16, 2, 4, 11, 8, 23, 5, 0, 18, 21, 24, 22, 12, 9, 6, 3, 1, 14, 7, 2, 7, 19, 13]",300,0.45,1000
19,1000,298.0,153266,55.08088298599978,"[7, 15, 10, 23, 0, 18, 5, 24, 12, 21, 3, 3, 22, 14, 4, 20, 16, 19, 6, 13, 1, 8, 17, 2, 9]",600,0.1,1000
21,1000,299.0,235000,97.29857930100115,"[12, 17, 23, 2, 6, 10, 0, 13, 22, 5, 18, 21, 7, 16, 3, 8, 20, 24, 9, 3, 1, 19, 4, 15, 11]",600,0.3,1000
23,1000,299.0,247021,103.3595654790006,"[20, 9, 15, 18, 3, 14, 22, 24, 0, 13, 8, 1, 23, 16, 19, 17, 7, 23, 12, 6, 21, 5, 2, 4, 10]",600,0.45,1000
25,1000,299.0,331342,138.82892968099986,"[6, 14, 12, 5, 9, 17, 20, 23, 11, 24, 8, 18, 0, 22, 7, 2, 0, 3, 10, 13, 21, 4, 1, 19, 15]",1000,0.1,1000
27,1000,299.0,369381,155.20343733399932,"[8, 12, 9, 7, 20, 17, 21, 5, 7, 0, 6, 24, 22, 1, 14, 18, 13, 4, 23, 11, 3, 10, 15, 2, 19]",1000,0.3,1000
29,1000,290.0,103104,43.20515402500314,"[2, 18, 11, 14, 1, 11, 6, 0, 3, 21, 24, 16, 21, 13, 18, 5, 14, 20, 4, 6, 9, 17, 23, 24, 15]",1000,0.45,1000
31,1000,293.0,508259,213.88991991799776,"[9, 24, 8, 16, 18, 6, 21, 0, 18, 11, 2, 5, 24, 1, 4, 14, 23, 13, 3, 8, 20, 22, 15, 21, 7]",2000,0.1,1000
33,1000,292.0,404207,171.45207538899922,"[15, 21, 12, 14, 23, 0, 15, 5, 8, 1, 13, 22, 24, 0, 11, 19, 2, 7, 19, 9, 1, 17, 10, 20, 18]",2000,0.3,1000
35,1000,293.0,250130,106.6762221129975,"[20, 14, 8, 10, 21, 24, 1, 9, 6, 18, 4, 12, 23, 11, 19, 15, 2, 22, 9, 7, 16, 24, 0, 3, 17]",2000,0.45,1000
37,1000,292.0,552143,237.49472878100278,"[14, 11, 18, 21, 17, 24, 3, 21, 2, 8, 16, 4, 10, 9, 5, 1, 20, 6, 13, 21, 23, 20, 12, 7, 11]",4000,0.1,1000
39,1000,292.0,560145,245.33794612999918,"[21, 0, 10, 20, 22, 5, 2, 9, 6, 13, 23, 18, 4, 19, 24, 20, 3, 14, 7, 1, 10, 24, 23, 14, 3]",4000,0.3,1000
41,1000,292.0,744190,325.2279357799998,"[1, 5, 13, 22, 24, 17, 1, 10, 24, 2, 19, 2, 11, 3, 21, 21, 4, 13, 15, 8, 14, 20, 7, 23, 6]",4000,0.45,1000
