index,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
2115,0,0.009673690001363866,275.0,4000.0,True,4000,0.2,1000
2116,1,0.08870305999880657,288.0,8002.0,True,4000,0.2,1000
2117,2,0.16009987899815314,288.0,12003.0,True,4000,0.2,1000
2118,3,0.23191609299828997,289.0,16005.0,True,4000,0.2,1000
2119,4,0.30848240300110774,289.0,20006.0,True,4000,0.2,1000
2120,5,0.38475700300114113,289.0,24007.0,True,4000,0.2,1000
2121,6,0.46121626400054083,289.0,28008.0,True,4000,0.2,1000
2122,7,0.537956039999699,289.0,32009.0,True,4000,0.2,1000
2123,8,0.6142274990015721,290.0,36011.0,True,4000,0.2,1000
2124,9,0.6910086429998046,290.0,40012.0,True,4000,0.2,1000
2125,10,0.7677787430002354,290.0,44013.0,True,4000,0.2,1000
2126,11,0.8442142450003303,290.0,48014.0,True,4000,0.2,1000
2127,12,0.9207203519981704,290.0,52015.0,True,4000,0.2,1000
2128,13,0.9973414050000429,290.0,56016.0,True,4000,0.2,1000
2129,14,1.0740494929996203,291.0,60018.0,True,4000,0.2,1000
2130,15,1.1509870390000287,291.0,64019.0,True,4000,0.2,1000
2131,16,1.228294634998747,292.0,68021.0,True,4000,0.2,1000
2132,17,1.3046504339981766,292.0,72022.0,True,4000,0.2,1000
2133,18,1.381109475998528,293.0,76024.0,True,4000,0.2,1000
2134,19,1.4581833749980433,295.0,80026.0,True,4000,0.2,1000
2135,20,1.5345319049993122,295.0,84027.0,True,4000,0.2,1000
2136,21,1.610928256999614,297.0,88029.0,True,4000,0.2,1000
2137,22,1.6872070620011073,298.0,92031.0,True,4000,0.2,1000
2138,23,1.7635120339982677,298.0,96032.0,True,4000,0.2,1000
2139,24,1.839961036999739,298.0,100033.0,True,4000,0.2,1000
2140,25,1.916316145001474,298.0,104034.0,True,4000,0.2,1000
2141,26,1.9927194910014805,298.0,108035.0,True,4000,0.2,1000
2142,27,2.069178007001028,298.0,112036.0,True,4000,0.2,1000
2143,28,2.145614494998881,298.0,116037.0,True,4000,0.2,1000
2144,29,2.221895773000142,298.0,120038.0,True,4000,0.2,1000
2145,30,2.298108177001268,298.0,124039.0,True,4000,0.2,1000
2146,31,2.374204052001005,298.0,128040.0,True,4000,0.2,1000
2147,32,2.451012374000129,298.0,132041.0,True,4000,0.2,1000
2148,33,2.527882225000212,298.0,136042.0,True,4000,0.2,1000
2149,34,2.6050896310007374,298.0,140043.0,True,4000,0.2,1000
2150,35,2.6811503339995397,298.0,144044.0,True,4000,0.2,1000
2151,36,2.7577820750011597,298.0,148045.0,True,4000,0.2,1000
2152,37,2.8344339030008996,298.0,152046.0,True,4000,0.2,1000
2153,38,2.9107251599998563,298.0,156047.0,True,4000,0.2,1000
2154,39,2.9868986000001314,298.0,160048.0,True,4000,0.2,1000
2155,40,3.0631685970001854,298.0,164049.0,True,4000,0.2,1000
2156,41,3.1395113250000577,298.0,168050.0,True,4000,0.2,1000
2157,42,3.2153632839981583,298.0,172051.0,True,4000,0.2,1000
2158,43,3.2918968650010356,298.0,176052.0,True,4000,0.2,1000
2159,44,3.3685325080004986,298.0,180053.0,True,4000,0.2,1000
2160,45,3.444589183000062,298.0,184054.0,True,4000,0.2,1000
2161,46,3.5211567570004263,298.0,188055.0,True,4000,0.2,1000
2162,47,3.597994509000273,298.0,192056.0,True,4000,0.2,1000
2163,48,3.674668322000798,298.0,196057.0,True,4000,0.2,1000
2164,49,3.7514102409986663,298.0,200058.0,True,4000,0.2,1000
2165,50,3.8284372630005237,298.0,204059.0,True,4000,0.2,1000
2166,51,3.9044168219988933,298.0,208060.0,True,4000,0.2,1000
2167,52,3.9814340789998823,298.0,212061.0,True,4000,0.2,1000
2168,53,4.057777506001003,298.0,216062.0,True,4000,0.2,1000
2169,54,4.1340562969999155,298.0,220063.0,True,4000,0.2,1000
2170,55,4.210244507001335,298.0,224064.0,True,4000,0.2,1000
2171,56,4.2864700719983375,298.0,228065.0,True,4000,0.2,1000
2172,57,4.363510359999054,298.0,232066.0,True,4000,0.2,1000
2173,58,4.439942476001306,298.0,236067.0,True,4000,0.2,1000
2174,59,4.5161333739997644,298.0,240068.0,True,4000,0.2,1000
2175,60,4.593085840999265,298.0,244069.0,True,4000,0.2,1000
2176,61,4.669316085000901,298.0,248070.0,True,4000,0.2,1000
2177,62,4.745406250000087,298.0,252071.0,True,4000,0.2,1000
2178,63,4.821975753999141,298.0,256072.0,True,4000,0.2,1000
2179,64,4.898545543001092,298.0,260073.0,True,4000,0.2,1000
2180,65,4.974364811001578,298.0,264074.0,True,4000,0.2,1000
2181,66,5.050975850001123,298.0,268075.0,True,4000,0.2,1000
2182,67,5.127130411001417,298.0,272076.0,True,4000,0.2,1000
2183,68,5.203103684998496,298.0,276077.0,True,4000,0.2,1000
2184,69,5.279507597999327,298.0,280078.0,True,4000,0.2,1000
2185,70,5.355641246998857,298.0,284079.0,True,4000,0.2,1000
2186,71,5.431649523001397,298.0,288080.0,True,4000,0.2,1000
