index,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
1,1000,280.0,2652,7.732940898000379,"[18.0, 4.0, 11.0, 23.0, 15.0, 15.0, 24.0, 0.0, 2.0, 2.0, 5.0, 9.0, 9.0, 19.0, 6.0, 1.0, 5.0, 13.0, 9.0, 3.0, 11.0, 3.0, 0.0, 4.0, 12.0]",True,25,0.2,1000
3,1000,280.0,2652,7.777626543000224,"[18.0, 4.0, 11.0, 23.0, 15.0, 15.0, 24.0, 0.0, 2.0, 2.0, 5.0, 9.0, 9.0, 19.0, 6.0, 1.0, 5.0, 13.0, 9.0, 3.0, 11.0, 3.0, 0.0, 4.0, 12.0]",True,25,0.5,1000
5,1000,278.0,2652,7.857543447997159,"[7.0, 21.0, 14.0, 24.0, 18.0, 2.0, 12.0, 0.0, 9.0, 19.0, 3.0, 5.0, 19.0, 3.0, 15.0, 6.0, 14.0, 1.0, 18.0, 13.0, 24.0, 16.0, 17.0, 6.0, 8.0]",True,25,0.7,1000
7,1000,285.0,10302,13.120112045002315,"[18.0, 4.0, 23.0, 15.0, 15.0, 3.0, 17.0, 0.0, 21.0, 6.0, 5.0, 15.0, 22.0, 19.0, 6.0, 1.0, 5.0, 13.0, 13.0, 24.0, 14.0, 3.0, 10.0, 4.0, 12.0]",True,100,0.2,1000
9,1000,289.0,10302,13.408929960001842,"[6.0, 2.0, 24.0, 22.0, 20.0, 13.0, 10.0, 23.0, 3.0, 22.0, 7.0, 11.0, 0.0, 4.0, 24.0, 15.0, 12.0, 16.0, 1.0, 9.0, 18.0, 14.0, 14.0, 19.0, 17.0]",True,100,0.5,1000
11,1000,287.0,11011,14.288252160997217,"[0.0, 10.0, 2.0, 14.0, 6.0, 17.0, 18.0, 1.0, 6.0, 3.0, 11.0, 7.0, 13.0, 20.0, 19.0, 12.0, 3.0, 8.0, 24.0, 11.0, 23.0, 24.0, 15.0, 21.0, 2.0]",True,100,0.7,1000
13,1000,293.0,33117,29.76101755000127,"[0.0, 15.0, 11.0, 1.0, 20.0, 6.0, 14.0, 1.0, 13.0, 5.0, 23.0, 6.0, 22.0, 19.0, 17.0, 8.0, 4.0, 24.0, 21.0, 8.0, 10.0, 7.0, 0.0, 2.0, 9.0]",True,300,0.2,1000
15,1000,291.0,34017,30.784569167000882,"[7.0, 5.0, 11.0, 0.0, 18.0, 6.0, 19.0, 1.0, 8.0, 12.0, 22.0, 6.0, 23.0, 1.0, 24.0, 5.0, 14.0, 16.0, 2.0, 20.0, 22.0, 15.0, 9.0, 17.0, 13.0]",True,300,0.5,1000
17,1000,291.0,39136,35.683706847001304,"[20.0, 12.0, 17.0, 24.0, 23.0, 11.0, 2.0, 8.0, 13.0, 23.0, 19.0, 3.0, 5.0, 21.0, 0.0, 10.0, 7.0, 20.0, 17.0, 7.0, 9.0, 15.0, 4.0, 16.0, 22.0]",True,300,0.7,1000
19,1000,294.0,66715,52.86094718700042,"[24.0, 13.0, 6.0, 6.0, 11.0, 8.0, 14.0, 0.0, 18.0, 1.0, 19.0, 12.0, 23.0, 3.0, 20.0, 4.0, 21.0, 16.0, 3.0, 2.0, 22.0, 15.0, 9.0, 4.0, 24.0]",True,600,0.2,1000
21,1000,295.0,74531,60.03308263300278,"[6.0, 3.0, 15.0, 20.0, 21.0, 2.0, 24.0, 1.0, 3.0, 12.0, 9.0, 23.0, 17.0, 2.0, 22.0, 16.0, 0.0, 24.0, 4.0, 19.0, 8.0, 11.0, 5.0, 10.0, 16.0]",True,600,0.5,1000
23,1000,293.0,80542,65.27522252999916,"[16.0, 6.0, 20.0, 14.0, 1.0, 4.0, 0.0, 19.0, 5.0, 18.0, 5.0, 3.0, 0.0, 11.0, 21.0, 15.0, 18.0, 6.0, 2.0, 12.0, 24.0, 17.0, 8.0, 10.0, 22.0]",True,600,0.7,1000
25,1000,295.0,114120,86.73189379800169,"[23.0, 8.0, 6.0, 21.0, 17.0, 7.0, 12.0, 24.0, 22.0, 8.0, 3.0, 16.0, 10.0, 1.0, 1.0, 23.0, 0.0, 20.0, 18.0, 9.0, 14.0, 11.0, 13.0, 6.0, 19.0]",True,1000,0.2,1000
27,1000,294.0,123130,93.93726306600001,"[6.0, 19.0, 7.0, 16.0, 20.0, 10.0, 4.0, 22.0, 0.0, 8.0, 1.0, 21.0, 2.0, 13.0, 22.0, 3.0, 9.0, 20.0, 12.0, 23.0, 15.0, 0.0, 24.0, 8.0, 21.0]",True,1000,0.5,1000
29,1000,292.0,142148,109.44817552200038,"[15.0, 13.0, 7.0, 23.0, 17.0, 12.0, 22.0, 9.0, 16.0, 20.0, 2.0, 11.0, 19.0, 19.0, 9.0, 1.0, 3.0, 8.0, 16.0, 14.0, 24.0, 6.0, 15.0, 5.0, 21.0]",True,1000,0.7,1000
31,1000,295.0,230121,166.62732034200235,"[0.0, 19.0, 23.0, 6.0, 19.0, 3.0, 5.0, 14.0, 4.0, 10.0, 22.0, 15.0, 2.0, 5.0, 17.0, 20.0, 0.0, 11.0, 20.0, 8.0, 13.0, 9.0, 7.0, 1.0, 21.0]",True,2000,0.2,1000
33,1000,294.0,260135,189.05762087599942,"[6.0, 23.0, 9.0, 13.0, 19.0, 9.0, 4.0, 12.0, 17.0, 23.0, 5.0, 24.0, 8.0, 0.0, 0.0, 15.0, 22.0, 1.0, 11.0, 18.0, 14.0, 10.0, 2.0, 20.0, 16.0]",True,2000,0.5,1000
35,1000,294.0,300155,220.99195692099966,"[7.0, 16.0, 12.0, 5.0, 23.0, 4.0, 19.0, 8.0, 22.0, 14.0, 0.0, 9.0, 24.0, 17.0, 1.0, 18.0, 10.0, 20.0, 13.0, 2.0, 8.0, 3.0, 17.0, 15.0, 21.0]",True,2000,0.7,1000
37,1000,298.0,492131,322.9696732079974,"[0.0, 15.0, 19.0, 21.0, 11.0, 1.0, 8.0, 5.0, 14.0, 17.0, 23.0, 2.0, 7.0, 18.0, 24.0, 2.0, 12.0, 20.0, 22.0, 4.0, 9.0, 13.0, 10.0, 16.0, 6.0]",True,4000,0.2,1000
39,1000,295.0,588155,324.22388866799884,"[7.0, 4.0, 23.0, 19.0, 24.0, 12.0, 3.0, 11.0, 2.0, 10.0, 20.0, 9.0, 1.0, 21.0, 13.0, 0.0, 8.0, 15.0, 24.0, 14.0, 16.0, 10.0, 22.0, 6.0, 17.0]",True,4000,0.5,1000
41,1000,294.0,680176,376.6496700619973,"[8.0, 5.0, 20.0, 2.0, 6.0, 3.0, 13.0, 8.0, 22.0, 24.0, 4.0, 6.0, 0.0, 18.0, 24.0, 21.0, 12.0, 7.0, 0.0, 11.0, 23.0, 14.0, 1.0, 9.0, 15.0]",True,4000,0.7,1000
