index,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
1,1000,294.0,239,0.07841773399923113,"[11, 1, 23, 6, 22, 7, 12, 19, 21, 14, 24, 3, 5, 9, 18, 16, 17, 4, 2, 9, 20, 15, 21, 12, 0]",50,1000,0
3,1000,295.0,563,0.22578954699929454,"[10, 8, 5, 20, 12, 23, 7, 21, 0, 18, 22, 6, 17, 2, 16, 14, 4, 4, 9, 3, 24, 19, 15, 1, 10]",50,1000,1
5,1000,295.0,899,0.43033063799884985,"[21, 8, 12, 5, 1, 13, 10, 3, 24, 4, 15, 9, 23, 11, 23, 16, 22, 17, 8, 2, 20, 6, 14, 0, 18]",50,1000,2
7,1000,294.0,1220,0.6771118149990798,"[8, 15, 5, 22, 0, 6, 7, 17, 12, 16, 18, 3, 23, 19, 9, 15, 13, 2, 24, 21, 1, 10, 4, 21, 14]",50,1000,3
9,1000,297.0,1591,1.05016348099889,"[1, 17, 21, 10, 13, 11, 4, 2, 23, 19, 5, 14, 12, 3, 7, 20, 24, 9, 15, 0, 22, 8, 16, 14, 6]",50,1000,4
11,1000,295.0,1878,1.3584496059993398,"[1, 16, 23, 8, 14, 23, 17, 7, 5, 22, 0, 4, 20, 11, 2, 19, 10, 13, 3, 21, 7, 24, 20, 6, 13]",50,1000,5
13,1000,295.0,2165,1.6993207589985104,"[22, 16, 14, 4, 17, 0, 9, 12, 5, 1, 6, 1, 21, 13, 18, 14, 23, 11, 20, 24, 8, 10, 2, 7, 3]",50,1000,6
15,1000,295.0,2463,2.0904519379982958,"[8, 15, 22, 1, 11, 0, 12, 18, 23, 14, 4, 10, 5, 16, 9, 17, 3, 21, 18, 16, 2, 7, 6, 24, 20]",50,1000,7
17,1000,294.0,2786,2.563308885000879,"[5, 15, 1, 6, 19, 17, 0, 20, 4, 10, 0, 22, 18, 16, 12, 2, 9, 3, 20, 23, 1, 13, 2, 23, 21]",50,1000,8
19,1000,293.0,3053,2.9927808930005995,"[20, 10, 5, 22, 22, 9, 17, 15, 2, 8, 7, 21, 0, 2, 10, 19, 3, 23, 18, 24, 11, 6, 1, 21, 4]",50,1000,9
21,1000,294.0,3461,3.7138462020011502,"[10, 15, 20, 3, 23, 2, 13, 2, 16, 21, 11, 22, 8, 18, 20, 5, 9, 6, 12, 17, 19, 0, 7, 14, 1]",50,1000,10
23,1000,294.0,3757,4.281885042000795,"[7, 20, 23, 16, 19, 0, 5, 15, 1, 12, 22, 22, 8, 11, 4, 15, 1, 18, 10, 13, 6, 17, 24, 14, 21]",50,1000,11
25,1000,290.0,3959,4.690813683999295,"[15, 17, 10, 14, 21, 5, 14, 20, 6, 0, 17, 2, 22, 6, 7, 9, 13, 18, 24, 4, 12, 9, 21, 3, 13]",50,1000,12
27,1000,294.0,4341,5.515708152001025,"[17, 0, 5, 18, 12, 15, 22, 12, 2, 6, 21, 9, 14, 1, 7, 10, 16, 13, 19, 8, 24, 20, 23, 13, 11]",50,1000,13
29,1000,296.0,4665,6.2657786599993415,"[2, 15, 6, 23, 14, 16, 1, 10, 5, 2, 4, 12, 20, 22, 13, 13, 3, 7, 24, 19, 0, 9, 11, 18, 8]",50,1000,14
31,1000,296.0,4940,6.928219624998746,"[19, 10, 22, 5, 12, 9, 1, 2, 15, 21, 11, 4, 0, 24, 3, 20, 6, 8, 18, 23, 0, 17, 7, 20, 16]",50,1000,15
33,1000,297.0,5346,7.989174153000931,"[17, 1, 9, 11, 5, 23, 10, 3, 18, 20, 13, 2, 24, 19, 7, 0, 15, 1, 8, 0, 22, 4, 16, 12, 6]",50,1000,16
35,1000,295.0,5650,8.837466450000647,"[5, 1, 16, 6, 3, 9, 24, 8, 21, 18, 2, 13, 22, 10, 7, 4, 23, 5, 20, 17, 0, 16, 9, 19, 1]",50,1000,17
37,1000,296.0,6110,10.189099958999577,"[0, 19, 10, 19, 24, 4, 18, 1, 3, 21, 15, 7, 2, 14, 12, 8, 20, 6, 1, 22, 17, 23, 9, 11, 16]",50,1000,18
39,1000,296.0,6543,11.563567236000381,"[7, 11, 24, 5, 12, 19, 3, 22, 11, 9, 4, 17, 23, 0, 6, 10, 21, 10, 15, 20, 16, 2, 0, 8, 14]",50,1000,19
41,1000,294.0,6947,12.92103589600083,"[3, 12, 15, 8, 22, 13, 4, 14, 4, 21, 10, 5, 24, 2, 6, 17, 19, 23, 11, 0, 7, 16, 20, 9, 1]",50,1000,20
43,1000,297.0,7387,14.47523603800073,"[8, 2, 17, 23, 18, 16, 4, 0, 24, 19, 14, 7, 1, 4, 11, 5, 3, 19, 13, 22, 20, 9, 21, 15, 10]",50,1000,21
45,1000,296.0,7907,16.443869688999257,"[13, 15, 4, 8, 0, 4, 16, 11, 6, 3, 22, 19, 19, 2, 9, 24, 22, 20, 18, 10, 1, 7, 5, 23, 17]",50,1000,22
47,1000,294.0,8175,17.491567795001174,"[17, 16, 22, 24, 10, 23, 9, 4, 4, 7, 21, 21, 14, 6, 15, 20, 5, 8, 22, 14, 3, 13, 0, 23, 18]",50,1000,23
