index,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.0005564540006162133,275.0,0.0,1,1000
1,1,0.0024024589984037448,276.0,2.0,1,1000
2,2,0.003049555998586584,277.0,4.0,1,1000
3,3,0.003797780998866074,280.0,6.0,1,1000
4,4,0.0041918239985534456,280.0,7.0,1,1000
5,5,0.0045859300007577986,280.0,8.0,1,1000
6,6,0.005325326001184294,279.0,10.0,1,1000
7,7,0.006060462997993454,278.0,12.0,1,1000
8,8,0.006813947999035008,277.0,14.0,1,1000
9,9,0.007201393000286771,277.0,15.0,1,1000
10,10,0.007595189999847207,277.0,16.0,1,1000
11,11,0.007979376998264343,277.0,17.0,1,1000
12,12,0.008722744998522103,278.0,19.0,1,1000
13,13,0.009117055000388063,278.0,20.0,1,1000
14,14,0.009849851001490606,279.0,22.0,1,1000
15,15,0.010613399997964734,278.0,24.0,1,1000
16,16,0.01101115699930233,278.0,25.0,1,1000
17,17,0.011754260998714017,277.0,27.0,1,1000
18,18,0.012499873999331612,277.0,29.0,1,1000
19,19,0.013239795000117738,277.0,31.0,1,1000
20,20,0.01397657000052277,278.0,33.0,1,1000
21,21,0.014721111998369452,281.0,35.0,1,1000
22,22,0.015481760001421208,280.0,37.0,1,1000
23,23,0.01622218899865402,280.0,39.0,1,1000
24,24,0.01699096499942243,280.0,41.0,1,1000
25,25,0.017735801000526408,283.0,43.0,1,1000
26,26,0.018142916000215337,283.0,44.0,1,1000
27,27,0.018557461000455078,283.0,45.0,1,1000
28,28,0.018967183998029213,283.0,46.0,1,1000
29,29,0.019720262000191724,284.0,48.0,1,1000
30,30,0.02012545699835755,284.0,49.0,1,1000
31,31,0.020886715999949956,285.0,51.0,1,1000
32,32,0.021648703997925622,284.0,53.0,1,1000
33,33,0.022064996999688447,284.0,54.0,1,1000
34,34,0.022478276998299407,284.0,55.0,1,1000
35,35,0.023225779998028884,284.0,57.0,1,1000
36,36,0.023643112999707228,284.0,58.0,1,1000
37,37,0.02405484300106764,284.0,59.0,1,1000
38,38,0.024831717000779463,284.0,61.0,1,1000
39,39,0.02525052000055439,284.0,62.0,1,1000
40,40,0.02602818900049897,284.0,64.0,1,1000
41,41,0.026812440999492537,286.0,66.0,1,1000
42,42,0.027591124999162275,286.0,68.0,1,1000
43,43,0.028009285000734963,286.0,69.0,1,1000
44,44,0.028418900998076424,286.0,70.0,1,1000
45,45,0.029190404999098973,286.0,72.0,1,1000
46,46,0.02964411499851849,286.0,73.0,1,1000
47,47,0.030419277998589678,286.0,75.0,1,1000
48,48,0.031197319000057178,288.0,77.0,1,1000
49,49,0.03161205099968356,288.0,78.0,1,1000
50,50,0.0323934879997978,288.0,80.0,1,1000
51,51,0.03316141300092568,287.0,82.0,1,1000
52,52,0.03392306200112216,289.0,84.0,1,1000
53,53,0.03435307499967166,289.0,85.0,1,1000
54,54,0.0351226319980924,286.0,87.0,1,1000
55,55,0.03553977599949576,286.0,88.0,1,1000
56,56,0.03630913500091992,286.0,90.0,1,1000
57,57,0.03706823299944517,286.0,92.0,1,1000
58,58,0.037841952998860506,286.0,94.0,1,1000
59,59,0.03826629600007436,286.0,95.0,1,1000
60,60,0.0390586239991535,286.0,97.0,1,1000
61,61,0.03983235000123386,288.0,99.0,1,1000
62,62,0.040259907000290696,288.0,100.0,1,1000
63,63,0.040692143000342185,288.0,101.0,1,1000
64,64,0.041126105999865104,288.0,102.0,1,1000
65,65,0.041567428001144435,288.0,103.0,1,1000
66,66,0.04200108499935595,288.0,104.0,1,1000
67,67,0.04276737799955299,289.0,106.0,1,1000
68,68,0.043543258998397505,289.0,108.0,1,1000
69,69,0.04432881799948518,289.0,110.0,1,1000
70,70,0.04475424499833025,289.0,111.0,1,1000
71,71,0.04519449199869996,289.0,112.0,1,1000
