index,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_decay
1,1000,299.0,954,0.5313905069997418,"[7, 13, 6, 23, 14, 18, 15, 12, 22, 3, 0, 4, 20, 9, 2, 16, 1, 20, 10, 5, 19, 8, 11, 21, 24]",exponential,1,0.005,0.001,0.9973465740393829,1,1000,
3,1000,296.0,516,0.19380734600053984,"[17, 14, 1, 23, 6, 20, 13, 16, 12, 3, 7, 2, 22, 9, 4, 18, 24, 4, 11, 5, 0, 6, 10, 15, 19]",geometric,1,,0.001,0.9980540668694763,1,1000,0.99
5,1000,286.0,1821,0.7364394060023187,"[24, 6, 8, 1, 5, 19, 0, 8, 23, 21, 20, 10, 21, 20, 18, 11, 24, 17, 7, 3, 9, 14, 5, 1, 14]",exponential,100,0.005,0.001,99.63245739442357,100,1000,
7,1000,297.0,1462,0.6419947329995921,"[6, 4, 15, 24, 24, 5, 10, 18, 3, 9, 20, 23, 1, 7, 22, 22, 17, 2, 11, 21, 12, 0, 13, 19, 14]",geometric,100,,0.001,99.3568508466392,100,1000,0.99
9,1000,279.0,1929,0.7594483780012524,"[17, 11, 15, 2, 3, 19, 6, 7, 1, 10, 20, 17, 4, 8, 8, 3, 14, 12, 24, 2, 22, 16, 10, 8, 14]",exponential,300,0.005,0.001,298.8629875548604,300,1000,
11,1000,295.0,1587,0.6766756020006142,"[13, 7, 5, 21, 24, 24, 16, 18, 1, 17, 9, 20, 4, 14, 21, 2, 22, 3, 23, 15, 10, 0, 6, 23, 12]",geometric,300,,0.001,297.9666768471531,300,1000,0.99
13,1000,276.0,1949,0.7616290400001162,"[11, 1, 8, 2, 15, 19, 10, 2, 18, 8, 20, 1, 24, 23, 19, 3, 19, 10, 13, 21, 22, 11, 18, 8, 7]",exponential,500,0.005,0.001,498.0995482947099,500,1000,
15,1000,295.0,1626,0.6854006809990096,"[10, 3, 17, 3, 23, 6, 9, 1, 13, 15, 21, 14, 16, 4, 22, 24, 2, 13, 8, 18, 12, 19, 0, 24, 5]",geometric,500,,0.001,496.5675821708367,500,1000,0.99
17,1000,271.0,1968,0.7680303340021055,"[17, 16, 8, 2, 8, 4, 17, 23, 10, 20, 20, 13, 13, 15, 12, 18, 24, 11, 17, 16, 22, 11, 22, 17, 1]",exponential,1000,0.005,0.001,996.1672122831658,1000,1000,
19,1000,293.0,1680,0.7018975999999384,"[20, 7, 15, 3, 5, 14, 9, 17, 4, 6, 18, 0, 16, 8, 2, 20, 10, 1, 19, 4, 11, 13, 0, 16, 23]",geometric,1000,,0.001,992.9705166016511,1000,1000,0.99
21,1000,277.0,1986,0.7728674270001648,"[10, 21, 0, 21, 15, 3, 11, 16, 7, 2, 5, 9, 21, 13, 16, 18, 6, 12, 24, 5, 22, 4, 11, 2, 10]",exponential,2000,0.005,0.001,1992.2862396145472,2000,1000,
23,1000,298.0,1740,0.714396860999841,"[20, 5, 12, 15, 0, 7, 22, 18, 22, 1, 10, 4, 17, 21, 13, 24, 19, 2, 6, 3, 11, 16, 23, 9, 14]",geometric,2000,,0.001,1985.691571442912,2000,1000,0.99
25,1000,276.0,1992,0.7763673730005394,"[21, 17, 9, 2, 23, 19, 8, 19, 1, 2, 20, 1, 10, 23, 8, 18, 3, 11, 24, 21, 22, 8, 17, 8, 1]",exponential,5000,0.005,0.001,4980.628438620813,5000,1000,
27,1000,293.0,1828,0.7394161730007909,"[21, 5, 16, 12, 3, 6, 0, 18, 23, 1, 17, 2, 18, 10, 19, 2, 24, 3, 20, 3, 15, 11, 22, 1, 4]",geometric,5000,,0.001,4962.980817816889,5000,1000,0.99
29,1000,273.0,1993,0.7783665579991066,"[21, 17, 9, 2, 23, 19, 8, 19, 1, 2, 20, 1, 10, 23, 8, 18, 3, 11, 24, 21, 22, 8, 17, 8, 18]",exponential,8000,0.005,0.001,7968.925844610161,8000,1000,
31,1000,291.0,1865,0.7494676249989425,"[23, 13, 8, 2, 5, 15, 0, 8, 20, 9, 17, 15, 21, 8, 3, 3, 19, 14, 12, 6, 22, 11, 18, 16, 10]",geometric,8000,,0.001,7939.967168788993,8000,1000,0.99
